"","source","target"
"10664","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10665","Stolen Property Offenses","Drug/Narcotic Violations"
"10666","Stolen Property Offenses","Weapon Law Violations"
"10667","Drug/Narcotic Violations","Weapon Law Violations"
"10668","Theft From Building","Aggravated Assault"
"10669","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10670","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10671","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10672","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"10673","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10674","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10675","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10676","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10677","Shoplifting","Simple Assault"
"10678","Theft From Motor Vehicle","Motor Vehicle Theft"
"10679","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10680","Motor Vehicle Theft","Destruction/Damage/Vandalism of Property"
"10681","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10682","Rape","All Other Larceny"
"10683","Credit Card/Automated Teller Machine Fraud","Theft From Motor Vehicle"
"10684","Credit Card/Automated Teller Machine Fraud","Destruction/Damage/Vandalism of Property"
"10685","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10686","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"10687","All Other Larceny","Motor Vehicle Theft"
"10688","Drug/Narcotic Violations","Weapon Law Violations"
"10689","Simple Assault","Weapon Law Violations"
"10690","Drug/Narcotic Violations","Weapon Law Violations"
"10691","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10692","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10693","Weapon Law Violations","Simple Assault"
"10694","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10695","Simple Assault","Destruction/Damage/Vandalism of Property"
"10696","Aggravated Assault","Murder and Nonnegligent Manslaughter"
"10697","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"10698","Murder and Nonnegligent Manslaughter","Destruction/Damage/Vandalism of Property"
"10699","Weapon Law Violations","Drug/Narcotic Violations"
"10700","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10701","Simple Assault","Destruction/Damage/Vandalism of Property"
"10702","Motor Vehicle Theft","Destruction/Damage/Vandalism of Property"
"10703","Motor Vehicle Theft","Purse-snatching"
"10704","Destruction/Damage/Vandalism of Property","Purse-snatching"
"10705","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"10706","All Other Larceny","Destruction/Damage/Vandalism of Property"
"10707","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10708","Theft From Building","Destruction/Damage/Vandalism of Property"
"10709","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10710","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10711","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10712","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"10713","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10714","Motor Vehicle Theft","Theft of Motor Vehicle Parts or Accessories"
"10715","Weapon Law Violations","Intimidation"
"10716","Stolen Property Offenses","Weapon Law Violations"
"10717","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10718","All Other Larceny","Counterfeiting/Forgery"
"10719","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10720","Weapon Law Violations","Drug/Narcotic Violations"
"10721","Weapon Law Violations","Simple Assault"
"10722","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10723","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"10724","Motor Vehicle Theft","Destruction/Damage/Vandalism of Property"
"10725","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10726","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10727","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"10728","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10729","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10730","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10731","Robbery","Destruction/Damage/Vandalism of Property"
"10732","Intimidation","Destruction/Damage/Vandalism of Property"
"10733","All Other Larceny","Aggravated Assault"
"10734","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10735","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"10736","Simple Assault","Destruction/Damage/Vandalism of Property"
"10737","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10738","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10739","Weapon Law Violations","Intimidation"
"10740","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10741","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10742","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10743","Weapon Law Violations","Intimidation"
"10744","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10745","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10746","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"10747","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10748","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10749","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10750","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10751","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10752","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10753","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"10754","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"10755","Weapon Law Violations","Aggravated Assault"
"10756","Aggravated Assault","All Other Larceny"
"10757","Aggravated Assault","Weapon Law Violations"
"10758","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"10759","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"10760","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10761","Destruction/Damage/Vandalism of Property","Theft From Building"
"10762","Destruction/Damage/Vandalism of Property","Simple Assault"
"10763","Theft From Building","Simple Assault"
"10764","All Other Larceny","Destruction/Damage/Vandalism of Property"
"10765","Simple Assault","All Other Larceny"
"10766","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"10767","Simple Assault","All Other Larceny"
"10768","Simple Assault","All Other Larceny"
"10769","Destruction/Damage/Vandalism of Property","Theft From Building"
"10770","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10771","Robbery","Credit Card/Automated Teller Machine Fraud"
"10772","All Other Larceny","Destruction/Damage/Vandalism of Property"
"10773","Stolen Property Offenses","Weapon Law Violations"
"10774","Intimidation","Destruction/Damage/Vandalism of Property"
"10775","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10776","Destruction/Damage/Vandalism of Property","Theft From Building"
"10777","Destruction/Damage/Vandalism of Property","Theft From Building"
"10778","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10779","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10780","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10781","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10782","Stolen Property Offenses","Weapon Law Violations"
"10783","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10784","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10785","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10786","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10787","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10788","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10789","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10790","Simple Assault","Destruction/Damage/Vandalism of Property"
"10791","Drug/Narcotic Violations","Weapon Law Violations"
"10792","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"10793","Intimidation","Destruction/Damage/Vandalism of Property"
"10794","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10795","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10796","Destruction/Damage/Vandalism of Property","All Other Larceny"
"10797","Theft From Motor Vehicle","All Other Larceny"
"10798","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10799","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10800","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10801","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10802","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10803","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"10804","Simple Assault","Aggravated Assault"
"10805","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10806","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10807","Simple Assault","Destruction/Damage/Vandalism of Property"
"10808","Simple Assault","Destruction/Damage/Vandalism of Property"
"10809","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10810","Weapon Law Violations","Aggravated Assault"
"10811","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"10812","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"10813","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10814","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10815","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10816","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10817","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10818","Drug/Narcotic Violations","Weapon Law Violations"
"10819","Weapon Law Violations","Simple Assault"
"10820","Credit Card/Automated Teller Machine Fraud","Theft From Motor Vehicle"
"10821","Drug/Narcotic Violations","Weapon Law Violations"
"10822","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"10823","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10824","Drug/Narcotic Violations","Weapon Law Violations"
"10825","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10826","Intimidation","Destruction/Damage/Vandalism of Property"
"10827","Destruction/Damage/Vandalism of Property","Theft From Building"
"10828","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10829","Kidnapping/Abduction","Simple Assault"
"10830","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10831","Simple Assault","Destruction/Damage/Vandalism of Property"
"10832","Simple Assault","Destruction/Damage/Vandalism of Property"
"10833","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10834","Simple Assault","Theft From Motor Vehicle"
"10835","Simple Assault","Destruction/Damage/Vandalism of Property"
"10836","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10837","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10838","Theft From Building","Destruction/Damage/Vandalism of Property"
"10839","Destruction/Damage/Vandalism of Property","Theft of Motor Vehicle Parts or Accessories"
"10840","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10841","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10842","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10843","Credit Card/Automated Teller Machine Fraud","Theft From Motor Vehicle"
"10844","Credit Card/Automated Teller Machine Fraud","Destruction/Damage/Vandalism of Property"
"10845","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10846","Simple Assault","Destruction/Damage/Vandalism of Property"
"10847","Simple Assault","Burglary/Breaking & Entering"
"10848","Simple Assault","Destruction/Damage/Vandalism of Property"
"10849","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"10850","Counterfeiting/Forgery","Drug/Narcotic Violations"
"10851","Counterfeiting/Forgery","Weapon Law Violations"
"10852","Drug/Narcotic Violations","Weapon Law Violations"
"10853","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10854","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10855","All Other Larceny","Destruction/Damage/Vandalism of Property"
"10856","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10857","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"10858","Simple Assault","Destruction/Damage/Vandalism of Property"
"10859","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10860","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10861","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10862","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10863","Simple Assault","All Other Larceny"
"10864","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10865","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10866","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"10867","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10868","Destruction/Damage/Vandalism of Property","Theft From Building"
"10869","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10870","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"10871","Simple Assault","Destruction/Damage/Vandalism of Property"
"10872","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"10873","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10874","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10875","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"10876","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"10877","Simple Assault","All Other Larceny"
"10878","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10879","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10880","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10881","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10882","Credit Card/Automated Teller Machine Fraud","Theft From Motor Vehicle"
"10883","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"10884","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"10885","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"10886","Stolen Property Offenses","Weapon Law Violations"
"10887","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"10888","Simple Assault","Theft From Building"
"10889","Credit Card/Automated Teller Machine Fraud","Theft From Motor Vehicle"
"10890","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"10891","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"10892","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10893","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10894","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10895","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"10896","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"10897","Intimidation","Destruction/Damage/Vandalism of Property"
"10898","Stolen Property Offenses","Counterfeiting/Forgery"
"10899","Stolen Property Offenses","Weapon Law Violations"
"10900","Counterfeiting/Forgery","Weapon Law Violations"
"10901","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"10902","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10903","Shoplifting","Simple Assault"
"10904","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"10905","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10906","Destruction/Damage/Vandalism of Property","Theft of Motor Vehicle Parts or Accessories"
"10907","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10908","Drug/Narcotic Violations","Weapon Law Violations"
"10909","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10910","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10911","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10912","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"10913","Destruction/Damage/Vandalism of Property","Murder and Nonnegligent Manslaughter"
"10914","All Other Larceny","Simple Assault"
"10915","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"10916","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10917","Intimidation","Theft From Motor Vehicle"
"10918","Intimidation","Destruction/Damage/Vandalism of Property"
"10919","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10920","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10921","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10922","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10923","Motor Vehicle Theft","Theft From Motor Vehicle"
"10924","All Other Larceny","Simple Assault"
"10925","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"10926","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10927","Theft From Building","Credit Card/Automated Teller Machine Fraud"
"10928","Simple Assault","Destruction/Damage/Vandalism of Property"
"10929","Simple Assault","Intimidation"
"10930","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10931","Intimidation","Destruction/Damage/Vandalism of Property"
"10932","Simple Assault","Weapon Law Violations"
"10933","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10934","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10935","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10936","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10937","Simple Assault","Destruction/Damage/Vandalism of Property"
"10938","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"10939","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"10940","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10941","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"10942","Simple Assault","All Other Larceny"
"10943","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10944","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10945","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"10946","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"10947","Stolen Property Offenses","Drug/Narcotic Violations"
"10948","Stolen Property Offenses","Weapon Law Violations"
"10949","Drug/Narcotic Violations","Weapon Law Violations"
"10950","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"10951","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10952","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10953","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10954","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"10955","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10956","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"10957","Simple Assault","Destruction/Damage/Vandalism of Property"
"10958","Motor Vehicle Theft","Destruction/Damage/Vandalism of Property"
"10959","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10960","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10961","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"10962","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"10963","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10964","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"10965","Simple Assault","Drug Equipment Violations"
"10966","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"10967","Drug/Narcotic Violations","All Other Larceny"
"10968","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10969","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"10970","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10971","Motor Vehicle Theft","All Other Larceny"
"10972","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10973","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"10974","Weapon Law Violations","Theft From Building"
"10975","Weapon Law Violations","Simple Assault"
"10976","Theft From Building","Simple Assault"
"10977","Simple Assault","Destruction/Damage/Vandalism of Property"
"10978","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10979","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"10980","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"10981","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10982","Aggravated Assault","Weapon Law Violations"
"10983","Simple Assault","Destruction/Damage/Vandalism of Property"
"10984","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10985","Shoplifting","Simple Assault"
"10986","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10987","Aggravated Assault","Simple Assault"
"10988","Weapon Law Violations","Burglary/Breaking & Entering"
"10989","Weapon Law Violations","Drug/Narcotic Violations"
"10990","Burglary/Breaking & Entering","Drug/Narcotic Violations"
"10991","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"10992","Simple Assault","All Other Larceny"
"10993","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"10994","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"10995","Simple Assault","All Other Larceny"
"10996","Simple Assault","Motor Vehicle Theft"
"10997","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"10998","Weapon Law Violations","Shoplifting"
"10999","Weapon Law Violations","Drug/Narcotic Violations"
"11000","Shoplifting","Drug/Narcotic Violations"
"11001","Weapon Law Violations","Simple Assault"
"11002","Simple Assault","All Other Larceny"
"11003","Destruction/Damage/Vandalism of Property","Simple Assault"
"11004","Simple Assault","All Other Larceny"
"11005","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11006","Murder and Nonnegligent Manslaughter","Destruction/Damage/Vandalism of Property"
"11007","Murder and Nonnegligent Manslaughter","Aggravated Assault"
"11008","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"11009","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"11010","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"11011","Motor Vehicle Theft","All Other Larceny"
"11012","Simple Assault","Destruction/Damage/Vandalism of Property"
"11013","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11014","Simple Assault","Aggravated Assault"
"11015","Destruction/Damage/Vandalism of Property","Simple Assault"
"11016","Simple Assault","Destruction/Damage/Vandalism of Property"
"11017","Drug/Narcotic Violations","Weapon Law Violations"
"11018","Simple Assault","Motor Vehicle Theft"
"11019","Simple Assault","Theft From Building"
"11020","Motor Vehicle Theft","Theft From Building"
"11021","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"11022","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11023","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11024","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11025","Shoplifting","Simple Assault"
"11026","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11027","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11028","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11029","Simple Assault","All Other Larceny"
"11030","Drug/Narcotic Violations","Weapon Law Violations"
"11031","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11032","Stolen Property Offenses","Drug/Narcotic Violations"
"11033","Stolen Property Offenses","Weapon Law Violations"
"11034","Drug/Narcotic Violations","Weapon Law Violations"
"11035","Weapon Law Violations","Drug/Narcotic Violations"
"11036","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11037","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11038","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11039","Intimidation","All Other Larceny"
"11040","Stolen Property Offenses","Weapon Law Violations"
"11041","All Other Larceny","Simple Assault"
"11042","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11043","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"11044","Aggravated Assault","Weapon Law Violations"
"11045","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"11046","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"11047","Intimidation","Weapon Law Violations"
"11048","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"11049","Aggravated Assault","Weapon Law Violations"
"11050","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"11051","Drug/Narcotic Violations","Weapon Law Violations"
"11052","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"11053","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11054","Simple Assault","Theft From Motor Vehicle"
"11055","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11056","Simple Assault","Destruction/Damage/Vandalism of Property"
"11057","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"11058","False Pretenses/Swindle/Confidence Game","Theft From Building"
"11059","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"11060","Destruction/Damage/Vandalism of Property","Theft From Building"
"11061","Simple Assault","Destruction/Damage/Vandalism of Property"
"11062","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"11063","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11064","All Other Larceny","Destruction/Damage/Vandalism of Property"
"11065","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11066","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11067","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11068","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11069","Destruction/Damage/Vandalism of Property","Theft of Motor Vehicle Parts or Accessories"
"11070","Shoplifting","Simple Assault"
"11071","Destruction/Damage/Vandalism of Property","Shoplifting"
"11072","Destruction/Damage/Vandalism of Property","Simple Assault"
"11073","Shoplifting","Simple Assault"
"11074","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11075","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11076","Drug/Narcotic Violations","Weapon Law Violations"
"11077","Drug/Narcotic Violations","Weapon Law Violations"
"11078","Drug/Narcotic Violations","Weapon Law Violations"
"11079","Stolen Property Offenses","Drug/Narcotic Violations"
"11080","Stolen Property Offenses","Weapon Law Violations"
"11081","Drug/Narcotic Violations","Weapon Law Violations"
"11082","Intimidation","Weapon Law Violations"
"11083","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"11084","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"11085","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11086","Credit Card/Automated Teller Machine Fraud","Destruction/Damage/Vandalism of Property"
"11087","Credit Card/Automated Teller Machine Fraud","Theft From Motor Vehicle"
"11088","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11089","Aggravated Assault","Weapon Law Violations"
"11090","Destruction/Damage/Vandalism of Property","Theft of Motor Vehicle Parts or Accessories"
"11091","Intimidation","Destruction/Damage/Vandalism of Property"
"11092","Stolen Property Offenses","Drug/Narcotic Violations"
"11093","Stolen Property Offenses","Weapon Law Violations"
"11094","Drug/Narcotic Violations","Weapon Law Violations"
"11095","Intimidation","Weapon Law Violations"
"11096","Simple Assault","Intimidation"
"11097","Simple Assault","Destruction/Damage/Vandalism of Property"
