"","source","target"
"228","Drug/Narcotic Violations","Drug Equipment Violations"
"229","Drug/Narcotic Violations","Destruction/Damage/Vandalism of Property"
"230","Drug Equipment Violations","Destruction/Damage/Vandalism of Property"
"231","Simple Assault","Destruction/Damage/Vandalism of Property"
"232","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"233","Weapon Law Violations","Simple Assault"
"234","Destruction/Damage/Vandalism of Property","Robbery"
"235","Simple Assault","Robbery"
"236","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"237","Drug/Narcotic Violations","Drug Equipment Violations"
"238","Drug Equipment Violations","Drug/Narcotic Violations"
"239","Simple Assault","Weapon Law Violations"
"240","Simple Assault","Drug/Narcotic Violations"
"241","Simple Assault","All Other Larceny"
"242","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"243","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"244","Destruction/Damage/Vandalism of Property","All Other Larceny"
"245","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"246","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"247","Simple Assault","Fondling"
"248","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"249","Aggravated Assault","Weapon Law Violations"
"250","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"251","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"252","Destruction/Damage/Vandalism of Property","Intimidation"
"253","Destruction/Damage/Vandalism of Property","All Other Larceny"
"254","All Other Larceny","Destruction/Damage/Vandalism of Property"
"255","Destruction/Damage/Vandalism of Property","Theft of Motor Vehicle Parts or Accessories"
"256","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"257","Destruction/Damage/Vandalism of Property","Simple Assault"
"258","Weapon Law Violations","Intimidation"
"259","Weapon Law Violations","Simple Assault"
"260","Intimidation","Simple Assault"
"261","Pocket-picking","Simple Assault"
"262","Weapon Law Violations","Stolen Property Offenses"
"263","Weapon Law Violations","Drug/Narcotic Violations"
"264","Drug/Narcotic Violations","Drug Equipment Violations"
"265","Drug/Narcotic Violations","Simple Assault"
"266","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"267","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"268","Destruction/Damage/Vandalism of Property","Motor Vehicle Theft"
"269","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"270","Destruction/Damage/Vandalism of Property","Motor Vehicle Theft"
"271","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"272","Motor Vehicle Theft","Theft From Motor Vehicle"
"273","Destruction/Damage/Vandalism of Property","Motor Vehicle Theft"
"274","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"275","Motor Vehicle Theft","Theft From Motor Vehicle"
"276","Purse-snatching","Simple Assault"
"277","Motor Vehicle Theft","Destruction/Damage/Vandalism of Property"
"278","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"279","All Other Larceny","Destruction/Damage/Vandalism of Property"
"280","Drug Equipment Violations","Drug/Narcotic Violations"
"281","Destruction/Damage/Vandalism of Property","Simple Assault"
"282","Destruction/Damage/Vandalism of Property","All Other Larceny"
"283","Destruction/Damage/Vandalism of Property","All Other Larceny"
"284","Destruction/Damage/Vandalism of Property","All Other Larceny"
"285","Drug/Narcotic Violations","Weapon Law Violations"
"286","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"287","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"288","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"289","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"290","Drug Equipment Violations","Drug/Narcotic Violations"
"291","Robbery","Weapon Law Violations"
"292","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"293","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"294","Drug Equipment Violations","Drug/Narcotic Violations"
"295","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"296","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"297","Fondling","Kidnapping/Abduction"
"298","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"299","Simple Assault","Robbery"
"300","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"301","Weapon Law Violations","Simple Assault"
"302","Destruction/Damage/Vandalism of Property","Theft of Motor Vehicle Parts or Accessories"
"303","Drug/Narcotic Violations","Drug Equipment Violations"
"304","Intimidation","Destruction/Damage/Vandalism of Property"
"305","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"306","Drug/Narcotic Violations","Simple Assault"
"307","Aggravated Assault","Weapon Law Violations"
"308","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"309","All Other Larceny","Simple Assault"
"310","Destruction/Damage/Vandalism of Property","All Other Larceny"
"311","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"312","Destruction/Damage/Vandalism of Property","All Other Larceny"
"313","Drug Equipment Violations","Drug/Narcotic Violations"
"314","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"315","Credit Card/Automated Teller Machine Fraud","Pocket-picking"
"316","Weapon Law Violations","Simple Assault"
"317","All Other Larceny","Simple Assault"
"318","Simple Assault","Aggravated Assault"
"319","Simple Assault","Weapon Law Violations"
"320","Aggravated Assault","Weapon Law Violations"
"321","Weapon Law Violations","Drug/Narcotic Violations"
