data_year,property_id,incident_id,prop_loss_id,stolen_count,recovered_count
2021,146392160,146701610,4,,
2021,146392900,146702510,4,,
2021,146392368,146701855,4,,
2021,146392279,146701748,6,,
2021,150016273,150921264,1,,
2021,144471592,144485148,4,,
2021,146392041,146701462,7,,
2021,146392156,146701605,7,,
2021,146392254,146701721,7,,
2021,146396214,146706452,7,,
2021,146392679,146702239,7,,
2021,146392126,146701566,7,,
2021,146392178,146701636,4,,
2021,146392173,146701627,7,1,
2021,146392105,146701544,4,,
2021,146392324,146701807,4,,
2021,146392057,146701478,7,,
2021,146392686,146702249,4,,
2021,146392295,146701770,7,,
2021,146396073,146706248,4,,
2021,146396308,146706567,4,,
2021,146392367,146701854,7,,
2021,146392070,146701491,4,,
2021,146392071,146701491,7,,
2021,146392420,146701911,4,,
2021,146392239,146701701,7,1,
2021,148834590,149543830,4,,
2021,150016599,150921646,1,,
2021,150016600,150921646,7,,
2021,146396196,146706423,4,,
2021,146396409,146706701,4,,
2021,146396410,146706701,7,,
2021,146392103,146701542,7,,
2021,146396349,146706621,4,,
2021,146396350,146706621,7,,
2021,146392443,146701937,4,,
2021,146392444,146701937,7,,
2021,145298320,145434160,6,,
2021,146392364,146701851,1,,
2021,146392365,146701851,7,,
2021,143167591,142965314,4,,
2021,143167592,142965314,7,,
2021,146392044,146701466,7,,
2021,146392148,146701596,7,,
2021,146396083,146706265,7,,
2021,146392233,146701697,4,,
2021,146392234,146701697,7,,
2021,146392227,146701692,7,,
2021,146396366,146706646,8,,
2021,146392377,146701863,7,,
2021,146392096,146701526,4,,
2021,146392450,146701946,7,,
2021,146392267,146701736,7,,
2021,146392286,146701759,7,,
2021,146392112,146701552,4,,
2021,146392155,146701604,4,,
2021,146392133,146701577,4,,
2021,146392265,146701734,4,,
2021,146392073,146701494,7,,
2021,146393268,146702945,4,,
2021,144471249,144484787,4,,
2021,146392664,146702218,4,,
2021,145296960,145432486,4,,
2021,145296961,145432486,7,,
2021,146392210,146701671,7,,
2021,146396183,146706408,4,,
2021,146396184,146706408,7,,
2021,146392303,146701779,7,,
2021,146392038,146701460,4,,
2021,146392039,146701460,7,,
2021,146392525,146702040,7,,
2021,146392301,146701777,7,,
2021,146392284,146701755,7,,
2021,144472324,144485966,7,,
2021,146392241,146701704,7,,
2021,146392226,146701691,7,,
2021,143167381,142965065,7,,
2021,146396148,146706358,7,1,
2021,146392204,146701663,7,,
2021,146392218,146701681,4,,
2021,146392356,146701839,1,,
2021,146392705,146702271,4,,
2021,146392706,146702271,7,,
2021,146392327,146701811,7,,
2021,146392433,146701929,1,,
2021,146392346,146701830,7,,
2021,143167754,142965518,1,,
2021,146392923,146702537,4,,
2021,146392924,146702537,7,,
2021,146392075,146701496,4,,
2021,146392118,146701557,7,,
2021,146392351,146701834,4,,
