data_year,nibrs_month_id,agency_id,month_num,inc_data_year,reported_status,report_date,update_flag,orig_format,data_home,ddocname,did,month_pub_status
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107346_INC,122043329,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107348_INC,119206970,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107352_INC,122043081,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107353_INC,122043237,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107354_INC,122043509,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107356_INC,122043273,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107358_INC,122055263,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107363_INC,122043373,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107364_INC,122043132,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107377_INC,122055503,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107385_INC,122043238,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107386_INC,134719091,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107387_INC,122043227,
2021,40337129,2243,8,2021,I,2021-08-01,,F,,2021_08_DCMPD0000_21107389_INC,122043136,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107391_INC,122043166,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107397_INC,129293386,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107398_INC,122043664,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107400_INC,122043134,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107402_INC,122043654,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107403_INC,122044094,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107404_INC,122055643,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107405_INC,122043392,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107406_INC,122043208,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107411_INC,122043893,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107416_INC,122043405,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107418_INC,122043327,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107422_INC,122043093,
