data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2021,146402669,37,1000,,
2021,146402670,17,3200,,
2021,148837737,3,1,2021-12-23,
2021,148837738,3,1,,
2021,146402618,25,1,,
2021,146402808,61,900,,
2021,146402258,16,20,,
2021,148837793,3,1,,
2021,146402324,30,1,,
2021,146402894,10,,,
2021,146402489,9,0,,
2021,146402489,20,15,,
2021,146402489,25,50,,
2021,146402489,61,1200,,
2021,146402753,63,20,,
2021,146402495,52,0,,
2021,148837569,47,0,,
2021,146402771,6,1250,,
2021,146402922,38,250,,
2021,146402923,20,400,,
2021,148837378,3,1,,
2021,148837361,3,1,,
2021,148837539,3,1,,
2021,146402377,47,0,2021-12-23,
2021,146402216,10,,,
2021,146402970,3,1,,
2021,146402971,61,1225,,
2021,146402539,63,3000,,
2021,146402540,3,600,,
2021,146402540,63,600,,
2021,146402541,9,0,,
2021,146402541,13,800,,
2021,146402541,63,420,,
2021,146402703,63,1,,
2021,146402508,10,,,
2021,146402568,3,800,,
2021,146402838,6,1200,,
2021,146402601,47,0,,
2021,146402622,20,1,,
2021,146402336,52,0,,
2021,148837785,35,300,,
2021,146402386,10,,,
2021,146402697,63,40,,
2021,148837339,9,0,,
2021,148837339,20,800,,
2021,148837339,25,50,,
2021,148837339,51,0,,
2021,146402672,3,1,,
2021,146402672,38,200,,
2021,146402673,7,700,,
2021,146402673,36,200,,
2021,146402673,61,1100,,
2021,146402880,61,1,,
2021,148837745,8,45,,
2021,146402652,3,8000,,
2021,146402611,3,1,,
2021,146402612,6,25,,
2021,146402612,25,200,,
2021,146402612,61,80,,
2021,146402612,63,426,,
2021,148837601,6,381,,
2021,148837768,63,1,,
2021,146402456,16,7,,
2021,146402772,63,1,,
2021,146402245,17,1,,
2021,146402245,25,50,,
2021,146402245,51,0,,
2021,148837655,42,300,,
2021,146402378,6,1,,
2021,146402378,25,1,,
2021,146402378,51,0,,
2021,146402378,61,1,,
2021,148837587,3,1,,
2021,146402861,63,1,,
2021,148837415,3,1,,
2021,148837416,6,1,,
2021,148837416,25,40,,
2021,146402875,63,60,,
2021,146402505,38,50,,
2021,146402533,63,5,,
2021,146402419,3,450,,
2021,146402572,10,,,
2021,148837567,6,450,,
2021,146402933,25,500,,
2021,146402933,61,200,,
2021,146402949,25,1,2021-12-24,
2021,146402202,3,1,,
2021,146402202,24,1,,
2021,146402203,9,0,,
2021,146402203,25,1,,
2021,146402321,3,300,,
2021,146402321,38,300,,
2021,150016665,3,200,,
2021,150016665,38,200,,
2021,150016666,6,215,,
2021,146402569,3,2,,
2021,146402570,25,300,,
2021,146402570,61,502,,
2021,146402642,3,900,,
2021,146402642,38,900,,
2021,146402870,3,500,,
2021,146402870,38,500,,
2021,146402871,20,120,,
2021,146402556,3,1,,
2021,146402692,3,2,,
2021,146402692,24,400,,
2021,146402693,6,400,,
2021,146402693,47,0,,
2021,146402238,3,1,,
2021,146402239,25,60,,
2021,146402239,63,130,,
2021,146402481,3,1000,,
2021,146402401,38,500,,
2021,148837870,51,0,,
2021,146402318,38,40,,
2021,146402485,6,1,,
2021,146402485,63,2,,
2021,146402483,63,19,,
2021,146402446,8,188,,
2021,146402357,7,1500,,
2021,146402357,9,0,,
2021,146402357,51,0,,
2021,148837531,6,82,,
2021,146402362,51,0,,
2021,146402804,38,2100,,
2021,148837872,38,800,,
2021,148837555,31,40000,,
2021,150016612,63,40,,
2021,146402738,19,202,,
2021,146402591,63,1,,
2021,146402592,63,1,,
2021,146402706,63,20,,
2021,148838105,63,1,,
2021,148837581,25,218,,
2021,146402380,3,1,,
2021,146402380,38,250,,
2021,146402381,16,5,,
2021,146402381,38,150,,
2021,146402381,63,10,,
2021,146402397,20,720,,
2021,148838507,38,2000,,
2021,146402678,3,700,,
2021,146402678,38,700,,
2021,148837608,63,2,,
2021,148837800,7,1500,,
2021,148837800,63,2171,,
2021,148837689,7,32000,,
2021,146402708,16,25,,
2021,148837620,38,1,,
2021,146402564,44,1,2021-12-24,
2021,146402564,47,0,2021-12-24,
2021,146402565,44,1,,
2021,146402565,47,0,,
2021,148837841,6,1990,,
2021,146402294,8,2,,
2021,146402295,8,1,,
2021,146402462,63,10,,
2021,148837284,20,20,,
2021,146402528,63,300,,
2021,146402501,16,1,,
2021,146402353,3,1,,
2021,146402734,3,1,,
2021,146402735,63,1,,
2021,146402813,3,1,,
2021,146402704,3,1,,
2021,146402704,38,200,,
2021,146402705,36,1200,,
2021,146402705,63,600,,
2021,146402553,3,1,,
2021,146402553,38,200,,
2021,146402668,8,10,,
2021,146402467,3,1,,
2021,146402467,38,200,,
2021,146402468,61,700,,
2021,146402728,9,0,,
2021,146402728,61,600,,
2021,148837493,3,1,,
2021,146402408,3,1,,
2021,146402409,9,0,,
2021,146402409,20,425,,
2021,146402409,25,1,,
2021,146402409,51,0,,
2021,146402427,8,25,,
2021,146402366,3,2,,
2021,146402649,3,1,,
2021,146402289,9,0,,
2021,146402289,25,1,,
2021,146402289,51,0,,
2021,146402289,61,1100,,
2021,146402836,3,1,,
2021,146402395,29,200,,
2021,148837432,6,210,,
2021,146402660,52,0,,
2021,146402742,38,500,,
2021,146402327,3,1,,
2021,146402327,38,200,,
2021,146402328,25,20,,
2021,148837704,52,0,,
2021,146402545,3,800,,
2021,146402337,8,439,,
2021,146402816,3,1,,
2021,146402816,38,200,,
2021,146402817,20,5,,
