data_year,agency_id,incident_id,nibrs_month_id,cargo_theft_flag,submission_date,incident_date,report_date_flag,incident_hour,cleared_except_id,cleared_except_date,incident_status,data_home,orig_format,did
2021,2243,146709308,40354692,f,2022-01-07 20:01:17.38,2021-10-10,f,23,6,,ACCEPTED,,F,122060118
2021,2243,145433301,40364000,f,2021-12-07 11:08:05.079,2021-11-02,f,2,6,,ACCEPTED,,F,119209236
2021,2243,145433729,40354692,f,2021-12-07 11:08:08.782,2021-10-29,f,2,6,,ACCEPTED,,F,119209771
2021,2243,146709492,40364000,f,2022-01-07 20:01:18.711,2021-11-02,f,2,6,,WARNINGS,,F,122060382
2021,2243,146708757,40364000,f,2022-01-07 20:01:13.456,2021-11-02,f,3,6,,ACCEPTED,,F,122059352
2021,2243,145433512,40364000,f,2021-12-07 11:08:07.157,2021-11-02,f,5,6,,ACCEPTED,,F,119209486
2021,2243,145433616,40364000,f,2021-12-07 11:08:07.914,2021-11-02,f,2,6,,ACCEPTED,,F,119209625
2021,2243,145433086,40364000,f,2021-12-07 11:08:02.393,2021-11-02,f,5,6,,ACCEPTED,,F,119208915
2021,2243,146709439,40364000,f,2022-01-07 20:01:18.298,2021-11-02,f,6,6,,ACCEPTED,,F,122060307
2021,2243,146709337,40354692,f,2022-01-07 20:01:17.624,2021-10-27,f,10,6,,ACCEPTED,,F,122060163
2021,2243,146709201,40364000,f,2022-01-07 20:01:16.208,2021-11-02,f,6,6,,ACCEPTED,,F,122059963
2021,2243,149543903,40354692,f,2022-02-28 11:55:48.585,2021-10-08,f,8,6,,WARNINGS,,F,129294619
2021,2243,145433632,40364000,f,2021-12-07 11:08:08.05,2021-11-02,f,6,6,,ACCEPTED,,F,119209645
2021,2243,146709295,40364000,f,2022-01-07 20:01:17.23,2021-11-02,f,6,6,,WARNINGS,,F,122060097
2021,2243,145433364,40354692,f,2021-12-07 11:08:05.778,2021-10-30,f,1,6,,ACCEPTED,,F,119209317
2021,2243,146709321,40354692,f,2022-01-07 20:01:17.486,2021-10-30,f,0,6,,ACCEPTED,,F,122060139
2021,2243,145433602,40364000,f,2021-12-07 11:08:07.805,2021-11-02,f,6,6,,ACCEPTED,,F,119209601
2021,2243,149545089,40354692,f,2022-02-28 11:55:58.995,2021-10-29,f,14,6,,ACCEPTED,,F,129296322
2021,2243,146709415,40364000,f,2022-01-07 20:01:18.124,2021-11-01,f,4,6,,ACCEPTED,,F,122060276
2021,2243,146709000,40364000,f,2022-01-07 20:01:14.728,2021-11-02,f,6,6,,ACCEPTED,,F,122059686
2021,2243,145433293,40364000,f,2021-12-07 11:08:04.995,2021-11-01,f,0,6,,ACCEPTED,,F,119209225
2021,2243,149544439,40364000,f,2022-02-28 11:55:53.727,2021-11-01,f,9,6,,ACCEPTED,,F,129295489
2021,2243,145433890,40364000,f,2021-12-07 11:08:10.086,2021-11-02,f,0,6,,ACCEPTED,,F,119209987
2021,2243,146709004,40364000,f,2022-01-07 20:01:14.761,2021-11-02,f,0,6,,ACCEPTED,,F,122059691
2021,2243,149544798,40364000,f,2022-02-28 11:55:56.757,2021-11-01,f,9,6,,ACCEPTED,,F,129295979
2021,2243,145434377,40354692,f,2021-12-07 11:08:14.042,2021-10-30,f,14,6,,ACCEPTED,,F,119210782
2021,2243,145433130,40364000,f,2021-12-07 11:08:02.966,2021-11-02,f,8,6,,ACCEPTED,,F,119208984
2021,2243,150921177,40354692,f,2022-03-14 18:49:08.163,2021-10-30,f,5,6,,ACCEPTED,,F,134718656
2021,2243,145433800,40364000,f,2021-12-07 11:08:09.235,2021-11-02,f,7,6,,ACCEPTED,,F,119209863
