data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,3,150588779,1.000,9,12962286
2022,16,150588779,1.000,9,12962287
2022,10,150588829,28.350,1,12962291
2022,10,150588829,14.787,5,12962292
2022,5,150588749,326.020,1,12962285
2022,10,150588782,29.574,5,12962288
2022,10,150589057,1.000,11,12962295
2022,10,150588932,88.721,5,12962294
2022,5,150589277,388.000,1,12962300
2022,5,150589276,1016.047,1,12962299
2022,10,150589310,1.000,11,12962301
2022,1,150589268,28.350,1,12962298
2022,1,150589092,1.000,1,12962296
2022,1,150589599,12.000,9,12962309
2022,5,158959608,1478.711,1,14190992
2022,2,150589567,1.000,9,12962306
2022,2,150589581,1.000,11,12962307
2022,5,150589666,294.000,1,12962311
2022,5,150589513,28349.523,1,12962305
2022,12,161464065,1.000,11,14541236
2022,10,151600126,29.574,5,13119046
2022,10,151600126,1.000,11,13119047
2022,5,150589700,187.107,1,12962314
2022,16,161463910,8.000,9,14541204
2022,5,150589757,144.583,1,12962321
2022,1,150589671,93.000,1,12962313
2022,10,150589805,2.000,9,12962324
2022,10,150589755,1.000,9,12962319
2022,10,150589755,1.000,5,12962320
2022,10,150589662,28.350,1,12962310
2022,5,150590019,1.000,11,12962328
2022,12,150589749,42.500,1,12962318
2022,7,161463874,1.000,11,14541195
2022,10,150590189,1.000,9,12962332
2022,10,150590155,1.000,9,12962331
2022,12,150590218,2.500,1,12962333
2022,5,150589999,257.000,1,12962327
2022,5,150590386,368.544,1,12962338
2022,5,150590416,4.000,9,12962339
2022,5,150590416,155.500,1,12962340
2022,8,150590416,101.500,9,12962341
2022,5,150590426,201.282,1,12962342
2022,5,161464005,2267.000,1,14541222
2022,16,161464005,17.000,9,14541223
2022,12,150590685,1.000,1,12962346
2022,7,161464109,22.000,9,14541247
2022,5,150590807,2118.000,1,12962350
2022,5,161464031,70.874,1,14541228
2022,16,150591050,113.000,1,12962361
2022,5,161463971,112.000,1,14541213
2022,5,150590936,82.214,1,12962355
2022,5,150590751,18.000,9,12962349
2022,5,156209488,1048.000,1,13811963
2022,1,150590932,28.000,9,12962353
2022,10,150590932,83.989,5,12962354
2022,12,151600958,85.049,1,13119070
2022,16,152626446,3.000,9,13278223
