"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2019,8,129729699
2019,6,129729712
2019,6,137037619
2019,3,137045308
2019,6,137045317
2019,6,137045320
2019,8,137037724
2019,9,129729605
2019,6,129739870
2019,8,129734484
2019,3,129729709
2019,6,129729709
2019,9,137045126
2019,9,137037459
2019,6,137045187
2019,8,137045187
2019,9,137037517
2019,6,137037529
2019,8,137047089
2019,8,137037560
2019,6,129729607
2019,6,129734486
2019,6,129734487
2019,8,129729627
2019,6,129729669
2019,9,129729666
2019,8,129729680
2019,8,129734552
2019,6,129729745
2019,9,129729567
2019,6,129729646
2019,6,129729715
2019,8,129729715
2019,6,137045212
2019,8,137045212
2019,6,137045213
2019,6,137037542
2019,8,129734476
2019,8,129734502
2019,8,129734569
2019,6,129729746
2019,6,129729747
2019,9,137045046
2019,9,137045069
2019,9,138274030
2019,9,138274033
2019,6,129734473
2019,6,129734474
2019,6,129734480
2019,6,129739872
2019,11,129739875
2019,6,129729611
2019,8,129729611
2019,6,129734483
2019,8,129734489
2019,8,129734490
2019,9,139576394
2019,9,139576397
2019,9,129739895
2019,6,129739905
2019,6,129729655
2019,8,129729655
2019,6,129729660
2019,8,129729660
2019,6,129739916
2019,8,129729684
2019,6,129729685
2019,8,129739922
2019,8,129734529
2019,6,129734529
2019,9,129729695
2019,3,129734532
2019,9,129734531
2019,8,129739935
2019,9,129734550
2019,6,129739953
2019,8,129734559
2019,8,129739962
2019,8,129729741
2019,9,139576595
2019,8,139576599
2019,6,139576613
2019,8,139576613
2019,3,139576616
2019,9,139576619
2019,9,139576625
2019,9,139576626
2019,9,139576629
2019,8,139576588
2019,8,139576592
2019,3,139576503
2019,6,139576502
2019,8,139576512
2019,8,139576515
2019,8,139576517
2019,9,139559003
2019,9,139576534
2019,6,139576535
2019,9,139576539
2019,8,139576541
2019,8,139576542
2019,9,139576543
2019,6,139576544
2019,9,139576559
2019,9,139576564
2019,8,139576568
2019,9,139576571
2019,8,139576587
2019,9,139576632
2019,6,139576645
2019,6,139576673
2019,8,139576673
2019,3,139576676
2019,6,139576677
2019,9,128051730
2019,8,128047183
2019,6,128051769
2019,6,128051805
2019,9,128047061
2019,6,128047143
2019,3,128042390
2019,6,128042390
2019,6,128042343
2019,8,128042396
2019,9,128047173
2019,8,128047187
2019,9,128047123
2019,6,128051803
2019,8,128051812
2019,9,143469548
2019,9,143469554
2019,6,139576372
2019,8,139576372
2019,9,139558932
2019,9,139576390
2019,8,129739984
2019,9,139571322
2019,6,137539892
2019,6,137539885
2019,8,137542023
2019,6,137542023
2019,6,137539890
2019,6,137539891
2019,6,139571314
2019,3,139571314
2019,10,137045083
2019,8,137045087
2019,6,137045097
2019,9,137037472
2019,8,137037306
2019,6,137045027
2019,8,137037374
2019,8,137045076
2019,6,137045086
2019,8,137037435
2019,6,137037435
2019,6,137037436
2019,9,137037496
2019,9,137037549
2019,9,137037562
2019,9,128051729
2019,8,128047069
2019,6,128042330
2019,6,128051750
2019,3,128051750
2019,3,128042355
2019,6,128042407
2019,8,128042407
2019,9,137046980
2019,9,137046983
2019,9,137045114
2019,10,137046870
2019,9,137044962
2019,8,137037419
2019,6,137037331
2019,6,137037330
2019,6,137037427
2019,6,137037423
2019,9,128047107
2019,9,128047115
2019,9,128051699
2019,8,128042366
2019,6,128042366
2019,6,128047160
2019,6,128051795
2019,8,128042397
2019,9,139576253
2019,9,144331177
2019,9,144331181
2019,9,144331201
2019,9,144331205
2019,6,144331185
2019,6,144331184
2019,9,144331186
2019,9,144331215
2019,9,137045409
2019,9,137037584
2019,3,137037596
2019,9,137045274
2019,8,137045314
2019,9,137037705
2019,6,137037742
2019,8,137045341
2019,9,137037751
2019,9,137045264
2019,6,137037617
2019,9,137045370
2019,9,137045373
2019,3,137037804
2019,6,137047233
2019,9,138273904
2019,9,138273938
2019,9,147145885
2019,6,137542128
2019,9,137542133
2019,9,137542134
2019,9,137542139
2019,9,137542142
2019,3,137542159
2019,6,137542159
2019,7,137542159
2019,6,137542165
2019,6,137542167
2019,8,137542201
2019,9,137542206
2019,9,137542212
2019,9,137542218
2019,8,137542219
2019,9,137542052
2019,6,137542080
2019,9,137542094
2019,9,137542107
2019,6,137542119
2019,9,137542118
2019,8,137542130
2019,6,137542132
2019,6,137542138
2019,9,137542150
2019,6,137542151
2019,9,137542162
2019,6,137542164
2019,8,137542168
2019,6,137542180
2019,9,137542037
2019,8,137542055
2019,6,137542057
2019,8,137542057
2019,6,137542061
2019,8,137542061
2019,9,145496903
2019,9,137542078
2019,6,137542086
2019,6,137542099
2019,8,137542100
2019,6,137542104
2019,8,137542104
2019,6,137542106
2019,9,137542112
2019,11,137542017
2019,6,137542189
2019,9,137542192
2019,9,137542220
2019,6,137542224
2019,6,137542225
2019,6,137542226
2019,8,137542227
2019,9,137542228
2019,8,137542229
2019,6,137542229
2019,6,137542230
2019,9,137542242
2019,9,137542248
2019,6,137542252
2019,6,137542259
2019,6,137542260
2019,8,137542260
2019,6,137542261
2019,8,137542262
2019,9,137542266
2019,10,137542272
2019,8,137542273
2019,8,137542275
2019,6,137542276
2019,8,137542277
2019,8,137542278
2019,6,137542290
2019,8,137542291
2019,9,137542293
2019,8,137542299
2019,8,137542304
2019,9,137542308
2019,9,137542310
2019,6,137542317
2019,6,137542316
2019,8,137542322
2019,6,137542323
2019,6,137542324
2019,8,137542325
2019,6,137542329
2019,8,137542332
2019,6,137542333
2019,8,137542333
2019,9,137542334
2019,8,137542336
2019,6,137542337
2019,8,137542339
2019,6,137542340
2019,8,137542341
2019,6,137542350
2019,8,137542350
2019,9,137542351
2019,8,137542352
2019,8,137542357
2019,6,137542359
2019,6,137542358
2019,6,137542361
2019,6,137542360
2019,6,137542362
2019,6,137542363
2019,6,137542365
2019,9,137542372
2019,6,137542373
2019,8,137542379
2019,8,137542380
2019,9,137542381
2019,9,137542383
2019,3,137542392
2019,9,137542390
2019,9,137542393
2019,8,137542394
2019,6,137542402
2019,9,137542404
2019,9,137542407
2019,6,137542408
2019,6,137542409
2019,8,137542428
2019,6,137542428
2019,6,137542436
2019,8,137542437
2019,8,137542438
2019,8,137542439
2019,8,137542440
2019,8,137542441
2019,8,137542442
2019,6,137542443
2019,6,137542444
2019,6,137542449
2019,3,137542448
2019,6,137542448
2019,8,137542448
2019,8,137542450
2019,8,137542451
2019,8,137542452
2019,8,137542453
2019,8,137542454
2019,9,137542468
2019,8,137542469
2019,8,137542470
2019,8,137542471
2019,8,137542473
2019,8,137542474
2019,6,137542474
2019,8,137542481
2019,8,137542482
2019,8,137542485
2019,8,137542489
2019,8,137542491
2019,9,137542495
2019,8,137534560
2019,6,137045211
2019,9,137045210
2019,9,137045348
2019,6,137045127
2019,9,137046994
2019,3,137045143
2019,6,137045143
2019,6,137037465
2019,8,137045152
2019,8,137045157
2019,8,137047217
2019,6,137047029
2019,9,137037721
2019,1,137047058
2019,8,137047063
2019,6,137037534
2019,8,137047079
2019,6,137047090
2019,6,137037574
2019,6,137047205
2019,6,137047206
2019,6,137047116
2019,6,137047117
2019,8,137045287
2019,9,137539881
2019,8,137046877
2019,6,137046877
2019,8,137037312
2019,6,137044950
2019,8,137045021
2019,6,137045021
2019,8,137046938
2019,8,137037556
2019,9,137037578
2019,9,137037797
2019,6,137047051
2019,9,137047057
2019,9,137037536
2019,8,137047127
2019,6,137037689
2019,6,137037691
2019,9,137037809
2019,6,137037395
2019,9,137045071
2019,9,137037677
2019,9,137037741
2019,8,137045395
2019,8,137045414
2019,6,137045414
2019,6,137046991
2019,8,137046991
2019,9,137037468
2019,6,137037530
2019,6,137037557
2019,6,137047065
2019,6,137045267
2019,9,137047151
2019,3,137037668
2019,6,137037667
2019,8,137037695
2019,9,137045321
2019,6,137037750
2019,8,137037750
2019,9,137045379
2019,9,138279185
2019,8,137047171
2019,8,137047174
2019,6,137047012
2019,6,137047011
2019,6,137037474
2019,6,137045158
2019,9,137047036
2019,6,137047067
2019,6,137045218
2019,8,137045218
2019,9,137037466
2019,9,137045149
2019,9,137047046
2019,9,137045238
2019,8,137047133
2019,6,137047133
2019,8,137037662
2019,6,137037662
2019,6,137037746
2019,9,137047230
2019,6,137046884
2019,9,137037337
2019,9,137046931
2019,9,138284048
2019,6,138284050
2019,8,138284056
2019,9,138284058
2019,8,138284059
2019,8,138284061
2019,9,138284072
2019,6,138284076
2019,3,138284075
2019,6,138284078
2019,6,138284079
2019,9,138284080
2019,6,138284082
2019,6,138284090
2019,6,138284091
2019,9,138284094
2019,9,138284104
2019,9,138284117
2019,9,138284120
2019,7,138284121
2019,6,138284137
2019,9,138284139
2019,6,138284142
2019,6,138284141
2019,8,138284146
2019,9,138284147
2019,8,138284156
2019,6,138284166
2019,8,138284157
2019,6,138284158
2019,6,138284165
2019,9,138284171
2019,8,138284173
2019,6,138284174
2019,8,138284175
2019,9,138284179
2019,6,138284181
2019,9,138284184
2019,8,138284187
2019,8,138284188
2019,6,138284190
2019,3,138284189
2019,6,138284189
2019,9,138284197
2019,6,138284198
2019,6,138284199
2019,9,138284200
2019,8,138284201
2019,6,138284203
2019,6,138284205
2019,6,138284215
2019,9,138284219
2019,3,138284220
2019,6,138284222
2019,6,138284223
2019,8,138284224
2019,8,138284225
2019,8,138284226
2019,8,138284227
2019,8,138284228
2019,8,138284229
2019,8,138284230
2019,1,138284231
2019,1,138284233
2019,6,138284237
2019,6,138284236
2019,6,138284238
2019,6,138284239
2019,8,138284240
2019,8,138284241
2019,6,138284241
2019,8,138284243
2019,6,138284243
2019,8,138284244
2019,6,138284244
2019,8,138284245
2019,6,138284249
2019,8,138284250
2019,6,138284251
2019,6,138284252
2019,6,138284253
2019,6,138284254
2019,9,138284259
2019,8,138284261
2019,9,138284263
2019,9,138273909
2019,6,138283916
2019,6,138283917
2019,9,138283924
2019,9,138283929
2019,9,138273959
2019,9,138283959
2019,6,138283961
2019,6,138283972
2019,6,138283971
2019,9,138283977
2019,6,138283978
2019,6,138274017
2019,9,138274023
2019,3,138283982
2019,9,138274026
2019,6,138283995
2019,3,138283994
2019,6,138284001
2019,8,138284001
2019,8,138284004
2019,6,138284005
2019,9,138274060
2019,9,138274062
2019,9,138284020
2019,8,138284025
2019,6,138284026
2019,9,138284031
2019,9,138284044
2019,9,138284046
2019,9,129739933
2019,6,129739985
2019,8,129739985
2019,6,137046886
2019,8,137046886
2019,8,137046890
2019,6,137046890
2019,9,137045024
2019,6,137045035
2019,7,137037402
2019,9,128047111
2019,1,128051754
2019,9,137046879
2019,8,137037345
2019,8,137037370
2019,8,137046965
2019,6,138273948
2019,8,138283928
2019,9,138273965
2019,6,138273966
2019,8,138273967
2019,9,138273971
2019,9,138273973
2019,6,138273992
2019,9,138273993
