"DATA_YEAR","VICTIM_ID","INJURY_ID"
2019,130454888,4
2019,130454901,5
2019,130454914,5
2019,130454919,5
2019,130454922,5
2019,130454928,5
2019,130454929,5
2019,130454940,4
2019,130454944,5
2019,130454971,2
2019,130454971,3
2019,130454986,4
2019,130454987,5
2019,130455004,4
2019,130455005,5
2019,130455012,5
2019,130455021,5
2019,130455024,5
2019,130455025,5
2019,130455028,5
2019,130455029,4
2019,130455032,4
2019,130455034,5
2019,130455044,4
2019,130455051,5
2019,130455053,4
2019,130455055,5
2019,130455061,4
2019,130455072,5
2019,130455073,5
2019,130455077,4
2019,130455092,4
2019,130455119,4
2019,130455121,5
2019,130455120,5
2019,130455122,5
2019,130455124,5
2019,130455127,4
2019,130455129,4
2019,130455135,5
2019,130455138,5
2019,130455147,6
2019,130455147,8
2019,130455148,5
2019,130455151,5
2019,130455154,5
2019,130455158,5
2019,130455159,5
2019,130455161,5
2019,130455162,5
2019,130455164,5
2019,130455166,5
2019,130455165,4
2019,130455173,5
2019,130455176,5
2019,130455181,4
2019,130455183,5
2019,130455184,5
2019,130455182,4
2019,130455185,5
2019,130455188,5
2019,130455192,4
2019,130455194,5
2019,130454706,5
2019,130454707,5
2019,130454711,4
2019,130454718,5
2019,130454742,5
2019,130454751,4
2019,130454761,5
2019,130454768,5
2019,130454685,4
2019,130454717,5
2019,130454729,4
2019,130454731,5
2019,130454735,5
2019,130454744,4
2019,130454743,4
2019,130454672,5
2019,130454675,4
2019,135091404,5
2019,135091492,4
2019,135091491,4
2019,135091506,4
2019,116061404,5
2019,116054418,4
2019,116054447,5
2019,116049990,5
2019,116050028,4
2019,116054409,5
2019,116061391,5
2019,116061394,5
2019,116061415,4
2019,116061446,5
2019,116061449,5
2019,116049973,4
2019,116061456,4
2019,116054485,5
2019,116050007,5
2019,116054511,4
2019,116054538,4
2019,133333794,5
2019,128681419,5
2019,128688145,5
2019,128688157,5
2019,128688163,5
2019,128688166,5
2019,128688168,5
2019,128688169,5
2019,128688182,4
2019,128688183,5
2019,128681459,5
2019,128688217,5
2019,128688215,4
2019,128688216,4
2019,128688221,5
2019,128688222,5
2019,128688224,5
2019,128688225,3
2019,128688226,5
2019,128688239,4
2019,128688244,4
2019,128688243,5
2019,128688245,5
2019,128681493,5
2019,128688258,4
2019,128688257,4
2019,128688263,5
2019,128688266,5
2019,128688269,5
2019,128681513,5
2019,128688271,5
2019,128688272,5
2019,128688276,5
2019,128688277,5
2019,128688279,4
2019,128688283,5
2019,128681528,3
2019,128688286,4
2019,128688289,4
2019,128688301,5
2019,128688312,4
2019,128688335,4
2019,128684560,4
2019,128688341,5
2019,128688342,5
2019,128688351,5
2019,128688357,5
2019,128688358,5
2019,128688359,4
2019,128688367,5
2019,128688368,4
2019,128688371,5
2019,128688372,4
2019,128688376,5
2019,128688380,5
2019,128688381,5
2019,128688382,5
2019,128688383,4
2019,128688384,5
2019,128688389,2
2019,128688390,5
2019,128688396,5
2019,128688395,5
2019,135091419,4
2019,135091424,5
2019,135091423,4
2019,135091441,4
2019,135091459,5
2019,135091465,5
2019,135091470,5
2019,135091503,4
2019,135091503,2
2019,129586370,5
2019,129586376,5
2019,129586378,5
2019,129586359,5
2019,129586357,5
2019,129586358,5
2019,133332776,4
2019,133332817,5
2019,133332770,5
2019,133324607,5
2019,133332778,5
2019,133332780,6
2019,133332780,3
2019,133332782,5
2019,133332790,5
2019,133332792,4
2019,133332794,5
2019,133332797,5
2019,133332815,4
2019,133333813,4
2019,116054490,4
2019,116050020,4
2019,116050030,5
2019,116061565,5
2019,114304401,5
2019,114309117,5
2019,114309167,5
2019,114311533,5
2019,114304446,4
2019,126053996,5
2019,126053998,5
2019,126053999,5
2019,126054000,4
2019,126054001,5
2019,126054002,4
2019,126054005,4
2019,126054006,5
2019,126054010,5
2019,126054011,5
2019,126054017,5
2019,126054022,5
2019,126054023,5
2019,126054025,5
2019,126054026,5
2019,126054027,8
2019,126054027,3
2019,126054028,5
2019,126054036,5
2019,126054037,4
2019,126054038,5
2019,126054043,5
2019,126054045,5
2019,126054047,5
2019,126054046,5
2019,126054057,5
2019,126054062,4
2019,126054065,5
2019,126054066,5
2019,126054067,5
2019,126054068,4
2019,126054071,5
2019,126054072,5
2019,126054073,4
2019,126054077,4
2019,126054080,4
2019,126054081,3
2019,126053472,4
2019,126053483,4
2019,126053468,4
2019,126053485,5
2019,126053524,5
2019,123572253,5
2019,123579722,5
2019,123579723,5
2019,123582025,4
2019,123579765,4
2019,123572317,5
2019,123579774,4
2019,123572318,5
2019,123572319,4
2019,123579782,5
2019,123579783,5
2019,123582051,4
2019,123579809,5
2019,123579790,5
2019,123579831,5
2019,123572354,4
2019,123582180,5
2019,123579988,4
2019,123580004,5
2019,123572595,5
2019,123582282,4
2019,123572678,5
2019,123580121,5
2019,123572707,5
2019,123580153,5
2019,123580176,5
2019,123580182,4
2019,123580192,5
2019,126053530,5
2019,126049335,5
2019,126053562,5
2019,126058206,5
2019,126053589,4
2019,126053600,4
2019,126053608,5
2019,126058220,5
2019,126053618,5
2019,126053621,4
2019,126053622,3
2019,126053648,4
2019,126053650,5
2019,126053654,5
2019,126053661,4
2019,126053664,5
2019,126053689,5
2019,126053694,5
2019,126049380,5
2019,126053698,5
2019,126053704,5
2019,126053720,5
2019,126053736,4
2019,126053741,5
2019,126049401,4
2019,126053761,5
2019,126053763,5
2019,126053767,5
2019,126053771,4
2019,126053783,5
2019,126053784,5
2019,126053787,5
2019,126053788,5
2019,126053796,5
2019,126053799,5
2019,126053801,4
2019,126053820,5
2019,126053834,5
2019,126053835,5
2019,126053842,4
2019,126053846,4
2019,126053848,5
2019,126053849,5
2019,126053852,5
2019,126053855,4
2019,126053866,5
2019,126053894,4
2019,126053898,5
2019,126053929,5
2019,126053950,4
2019,126053953,5
2019,126053952,5
2019,126053956,5
2019,126053958,5
2019,126053964,5
2019,126053969,5
2019,126053971,5
2019,126053970,5
2019,126053968,5
2019,126053967,5
2019,126049429,5
2019,126053972,4
2019,126053973,5
2019,126053979,5
2019,126053980,5
2019,126053983,5
2019,126053984,5
2019,126053986,5
2019,126053989,4
2019,126053990,5
2019,123582121,5
2019,123582222,4
2019,123580014,4
2019,123572581,5
2019,123572596,4
2019,123580050,5
2019,123582292,5
2019,123580143,4
2019,123580159,5
2019,123580161,5
2019,123572752,5
2019,123582309,5
2019,123580162,4
2019,123580183,5
2019,116054468,5
2019,116054467,5
2019,116049945,5
2019,116061395,5
2019,116054501,5
2019,116061552,4
2019,116061555,4
2019,116061556,4
2019,116050033,4
2019,124050556,4
2019,124054891,4
2019,124042764,5
2019,124042767,5
2019,124054895,4
2019,124050560,5
2019,124042781,5
2019,124042800,5
2019,124050576,4
2019,124050577,5
2019,124042811,5
2019,124042812,5
2019,124042813,5
2019,124042814,5
2019,124050579,4
2019,124050582,5
2019,124050583,4
2019,114311529,5
2019,114309149,5
2019,114311531,1
2019,114311530,3
2019,114304454,5
2019,114304383,5
2019,114309196,4
2019,114311552,5
2019,114309194,5
2019,114304430,1
2019,114304430,2
2019,114304430,3
2019,114304430,8
2019,114309228,5
2019,114309242,5
2019,114309169,5
2019,114304406,5
2019,114311537,5
2019,114304431,3
2019,114304431,2
2019,133324609,5
2019,133324608,5
2019,133324614,5
2019,133324615,5
2019,133324616,5
2019,114311492,5
2019,114304377,4
2019,128688141,5
2019,128688167,5
2019,128688170,5
2019,128688180,5
2019,128688206,5
2019,129586374,5
2019,129578471,4
2019,129586381,5
2019,129578463,5
2019,129578472,5
2019,129578473,5
2019,128688142,4
2019,128688143,5
2019,128681425,5
2019,128681427,5
2019,128681428,5
2019,128681429,5
2019,128684495,5
2019,128684503,4
2019,128684503,1
2019,128688162,4
2019,128688161,4
2019,128681437,5
2019,128681439,5
2019,128681441,4
2019,128688177,4
2019,128681442,4
2019,128688179,4
2019,128681444,4
2019,128684522,5
2019,128681466,4
2019,128681469,5
2019,128681468,5
2019,128681478,4
2019,128681484,5
2019,128681490,5
2019,128684528,4
2019,128681511,5
2019,128688267,4
2019,128681514,4
2019,128681515,5
2019,128688273,5
2019,128688274,5
2019,128681518,4
2019,128681522,4
2019,128681529,5
2019,128681533,4
2019,128681535,5
2019,128681540,4
2019,128681541,4
2019,128681551,5
2019,128688319,5
2019,129578475,5
2019,129578479,4
2019,129578502,5
2019,129578503,4
2019,129578506,5
2019,129578512,5
2019,129578514,5
2019,129578522,4
2019,129586474,4
2019,129578527,4
2019,129578532,5
2019,129578533,5
2019,129578536,5
2019,129578537,5
2019,129578539,5
2019,129578542,4
2019,129578553,4
2019,129578554,5
2019,129578555,5
2019,129578557,4
2019,129578558,5
2019,129578560,4
2019,129578559,5
2019,129578561,5
2019,129578577,5
2019,129586550,4
2019,129578600,4
2019,129578604,5
2019,129578605,5
2019,129578608,5
2019,129578609,2
2019,129578613,5
2019,129578626,5
2019,129578628,4
2019,129578634,5
